AwayScore,CompType,Date,GameDes,GameID,Home,HomeScore,OU,Spread,Visitor,away3PA,away3PM,away3PP,awayAST,awayBLK,awayDREB,awayFGA,awayFGM,awayFGP,awayFTA,awayFTM,awayFTP,awayLARGESTLEAD,awayMin,awayOREB,awayPF,awayPTS,awayPTS2NDCHANCE,awayPTSFB,awayPTSOFFTOV,awayPTSPAINT,awayREB,awaySTL,awayTOV,awayTeam,home3PA,home3PM,home3PP,homeAST,homeBLK,homeDREB,homeFGA,homeFGM,homeFGP,homeFTA,homeFTM,homeFTP,homeLARGESTLEAD,homeMin,homeOREB,homePF,homePTS,homePTS2NDCHANCE,homePTSFB,homePTSOFFTOV,homePTSPAINT,homeREB,homeSTL,homeTOV,homeTeam,season
103.0,Regular Season,2011-12-28,Philadelphia at Phoenix,21100031,Phoenix,83.0,196.5,1.5,Philadelphia,17.0,7.0,0.412,22.0,2.0,36.0,86.0,41.0,0.477,18.0,14.0,0.778,1.0,240:00,12.0,19.0,103.0,8.0,6.0,19.0,36.0,48.0,11.0,10.0,Philadelphia,11.0,2.0,0.182,15.0,3.0,31.0,80.0,33.0,0.413,18.0,15.0,0.833,34.0,240:00,8.0,17.0,83.0,13.0,20.0,8.0,50.0,39.0,3.0,12.0,Phoenix,2011-12
78.0,Regular Season,2011-12-28,New York at Golden State,21100032,Golden State,92.0,208.0,6.0,New York,21.0,4.0,0.19,15.0,0.0,27.0,70.0,28.0,0.4,25.0,18.0,0.72,8.0,240:00,4.0,21.0,78.0,7.0,24.0,23.0,32.0,31.0,7.0,15.0,New York,16.0,6.0,0.375,20.0,4.0,36.0,77.0,35.0,0.455,24.0,16.0,0.667,19.0,240:00,11.0,17.0,92.0,13.0,8.0,10.0,44.0,47.0,12.0,14.0,Golden State,2011-12
78.0,Regular Season,2011-12-29,Brooklyn at Orlando,21100033,Orlando,94.0,181.5,-11.5,Brooklyn,17.0,6.0,0.353,17.0,5.0,33.0,77.0,29.0,0.377,21.0,14.0,0.667,1.0,240:00,9.0,26.0,78.0,16.0,7.0,25.0,26.0,42.0,5.0,15.0,Brooklyn,21.0,9.0,0.429,25.0,4.0,35.0,81.0,36.0,0.444,25.0,13.0,0.52,20.0,240:00,11.0,19.0,94.0,15.0,14.0,10.0,42.0,46.0,8.0,13.0,Orlando,2011-12
85.0,Regular Season,2011-12-29,San Antonio at Houston,21100034,Houston,105.0,197.5,3.0,San Antonio,17.0,2.0,0.118,12.0,7.0,24.0,93.0,35.0,0.376,20.0,13.0,0.65,25.0,240:00,22.0,10.0,85.0,19.0,14.0,18.0,40.0,46.0,4.0,12.0,San Antonio,26.0,9.0,0.346,21.0,8.0,33.0,85.0,43.0,0.506,13.0,10.0,0.769,0.0,240:00,13.0,17.0,105.0,21.0,10.0,19.0,56.0,46.0,7.0,11.0,Houston,2011-12
102.0,Regular Season,2011-12-29,Dallas at Oklahoma City,21100035,Oklahoma City,104.0,195.5,-5.0,Dallas,26.0,9.0,0.346,25.0,1.0,24.0,90.0,38.0,0.422,21.0,17.0,0.81,12.0,240:00,14.0,24.0,102.0,16.0,10.0,11.0,36.0,38.0,14.0,12.0,Dallas,14.0,6.0,0.429,19.0,8.0,32.0,63.0,37.0,0.587,32.0,24.0,0.75,8.0,240:00,6.0,19.0,104.0,6.0,17.0,33.0,36.0,38.0,8.0,26.0,Oklahoma City,2011-12
108.0,Regular Season,2011-12-29,Chicago at Sacramento,21100036,Sacramento,98.0,188.5,8.0,Chicago,12.0,6.0,0.5,25.0,5.0,33.0,80.0,43.0,0.538,21.0,16.0,0.762,15.0,240:00,8.0,27.0,108.0,14.0,33.0,23.0,54.0,41.0,6.0,18.0,Chicago,17.0,8.0,0.471,13.0,2.0,24.0,83.0,35.0,0.422,34.0,20.0,0.588,3.0,240:00,18.0,19.0,98.0,22.0,14.0,15.0,48.0,42.0,8.0,14.0,Sacramento,2011-12
102.0,Regular Season,2011-12-29,Denver at Portland,21100037,Portland,111.0,202.0,-5.5,Denver,20.0,4.0,0.2,17.0,2.0,27.0,87.0,35.0,0.402,33.0,28.0,0.848,13.0,240:00,3.0,20.0,102.0,11.0,11.0,29.0,40.0,30.0,16.0,7.0,Denver,20.0,8.0,0.4,20.0,9.0,43.0,79.0,41.0,0.519,23.0,21.0,0.913,4.0,240:00,7.0,25.0,111.0,11.0,28.0,10.0,54.0,50.0,3.0,25.0,Portland,2011-12
82.0,Regular Season,2011-12-29,New York at L.A. Lakers,21100038,L.A. Lakers,99.0,195.0,-3.5,New York,22.0,6.0,0.273,15.0,6.0,23.0,67.0,21.0,0.313,41.0,34.0,0.829,6.0,240:00,9.0,20.0,82.0,5.0,6.0,12.0,26.0,32.0,11.0,12.0,New York,16.0,9.0,0.563,23.0,7.0,34.0,73.0,38.0,0.521,22.0,14.0,0.636,22.0,240:00,6.0,28.0,99.0,8.0,7.0,8.0,44.0,40.0,6.0,14.0,L.A. Lakers,2011-12
100.0,Regular Season,2011-12-30,Orlando at Charlotte,21100039,Charlotte,79.0,183.5,4.0,Orlando,28.0,12.0,0.429,23.0,7.0,35.0,84.0,37.0,0.44,24.0,14.0,0.583,21.0,240:00,14.0,16.0,100.0,11.0,6.0,9.0,44.0,49.0,3.0,11.0,Orlando,15.0,5.0,0.333,19.0,3.0,29.0,83.0,30.0,0.361,18.0,14.0,0.778,0.0,240:00,12.0,23.0,79.0,17.0,6.0,15.0,20.0,41.0,6.0,12.0,Charlotte,2011-12
91.0,Regular Season,2011-12-30,Cleveland at Indiana,21100040,Indiana,98.0,193.5,-9.5,Cleveland,25.0,5.0,0.2,13.0,9.0,40.0,88.0,34.0,0.386,31.0,18.0,0.581,8.0,265:00,9.0,28.0,91.0,16.0,13.0,7.0,44.0,49.0,7.0,18.0,Cleveland,10.0,2.0,0.2,15.0,10.0,43.0,94.0,36.0,0.383,32.0,24.0,0.75,11.0,265:00,17.0,27.0,98.0,21.0,10.0,17.0,52.0,60.0,9.0,16.0,Indiana,2011-12
85.0,Regular Season,2011-12-30,Detroit at Boston,21100041,Boston,96.0,182.0,-10.0,Detroit,16.0,3.0,0.188,18.0,0.0,23.0,79.0,34.0,0.43,15.0,14.0,0.933,25.0,240:00,12.0,14.0,85.0,4.0,11.0,18.0,32.0,35.0,3.0,9.0,Detroit,16.0,7.0,0.438,25.0,6.0,25.0,67.0,35.0,0.522,19.0,19.0,1.0,2.0,240:00,5.0,18.0,96.0,17.0,5.0,17.0,38.0,30.0,4.0,10.0,Boston,2011-12
